model,mean_outer_c_index,std_outer_c_index,mean_outer_mse,std_outer_mse,mean_outer_rmse,std_outer_rmse,mean_outer_mae,std_outer_mae,mean_outer_r2,std_outer_r2,mean_outer_pearson,std_outer_pearson,best_fold,best_fold_outer_c_index,best_params_json
xgb,0.677289542,0.014463595,11.84106333,3.386201778,3.410967292,0.454274661,2.420307895,0.284820933,0.345276714,0.098472648,0.603636582,0.073782659,3,0.69890741,"{""xgb_max_depth"": 12, ""xgb_n_estimators"": 540, ""xgb_learning_rate"": 0.04678514500336464, ""xgb_subsample"": 0.7136741839478713, ""xgb_colsample_bytree"": 0.6570201839603174, ""xgb_reg_lambda"": 25.972498578996927, ""xgb_reg_alpha"": 0.11552106970304041}"
gbrt,0.671655034,0.017463495,12.86359187,3.190111067,3.561946834,0.41967442,2.510003093,0.235573633,0.280884591,0.130263123,0.5705669,0.075064679,7,0.708974359,"{""gbrt_max_depth"": 10, ""gbrt_min_samples_leaf"": 25, ""gbrt_n_estimators"": 469, ""gbrt_learning_rate"": 0.041565521452704875, ""gbrt_subsample"": 0.963907968288386}"
extratrees,0.667884025,0.018565297,12.53548208,3.828610003,3.503401838,0.511524822,2.692240524,0.347323138,0.313124862,0.091857266,0.589146361,0.076804441,5,0.704202279,"{""extratrees_max_depth"": 22, ""extratrees_min_samples_split"": 3, ""extratrees_min_samples_leaf"": 1, ""extratrees_n_estimators"": 315, ""extratrees_max_features"": ""log2""}"
hgbr,0.659010117,0.020443506,13.08255573,3.142682791,3.593187132,0.414200392,2.494249465,0.25320493,0.269331395,0.122307113,0.560867693,0.082034907,7,0.703133903,"{""hgbr_max_depth"": 14, ""hgbr_learning_rate"": 0.04685022489992051, ""hgbr_max_iter"": 656, ""hgbr_max_leaf_nodes"": 159, ""hgbr_l2_regularization"": 1.8313031755929194e-05}"
svr,0.658765519,0.026799118,13.67031382,4.779698627,3.649524089,0.592695319,2.555286217,0.354185299,0.2627642,0.06354011,0.536072908,0.060301517,5,0.699928775,"{""svr_C"": 4.159037910020439, ""svr_epsilon"": 0.18849048498717116, ""svr_gamma"": 0.07988687656401801}"
gpr,0.662502273,0.027058889,11.79233165,3.094930886,3.407744927,0.423799668,2.431247071,0.232203778,0.342928777,0.114643665,0.601278356,0.075696043,5,0.713247863,"{""gpr_alpha"": 1.0597886969851752e-06, ""gpr_length_scale"": 1.5371255646903874, ""gpr_constant"": 7.337229481459028}"
knn,0.667519537,0.01898078,11.92542875,3.165671632,3.426152085,0.432331636,2.465831154,0.241613505,0.335749769,0.120898898,0.603998679,0.070820801,5,0.699074074,"{""knn_n_neighbors"": 52, ""knn_weights"": ""distance"", ""knn_p"": 1}"
rf,0.668271427,0.017807264,13.41764519,4.055832448,3.626350724,0.516938699,2.864266062,0.314553287,0.268482554,0.060171411,0.576097938,0.076500182,5,0.697364672,"{""rf_max_depth"": 15, ""rf_min_samples_split"": 2, ""rf_min_samples_leaf"": 2, ""rf_n_estimators"": 568, ""rf_max_features"": ""log2""}"
ensemble1,0.677358422,0,11.70728664,0,3.421591244,0,2.430221376,0,0.377674686,0,0.614926195,0,-1,0.677358422,"{""weights"": [0.8172340269543897, 0.04325188302224762, 0.05962540258843398, 0.07988868743492868], ""models"": [""xgb"", ""rf"", ""gpr"", ""knn""]}"
ensemble2,0.675870343,0,11.74890785,0,3.427667989,0,2.489905876,0,0.375462224,0,0.613619602,0,-1,0.675870343,"{""weights"": [0.2851316765838149, 0.2618774058592976, 0.1481615126522462, 0.00331070774079202, 0.05515788649973155, 0.07272000363047178, 0.07476652712851446, 0.09887427990513152], ""models"": [""xgb"", ""gbrt"", ""extratrees"", ""hgbr"", ""svr"", ""gpr"", ""knn"", ""rf""]}"
