Net,PSNR,Params,Generation,Model,Seed,SourceFile,PSNR_N,Params_N
"[0, 7, 4, 4, 7, 1, 4, 7, 3, 2, 7, 1, 3, 7, 5, 4, 7, 5, 1, 7, 4, 4, 7, 4, 0, 7, 5, 4]",33.079383,2272.0,137,rf,1,G:\Mi unidad\Paper2\Seeds\mse_Reduced\rf\rf_converted_seed_1.csv,0.7836436366442298,0.0
"[0, 7, 3, 4, 7, 0, 3, 7, 3, 2, 7, 1, 4, 7, 5, 7, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 4]",33.304489,2544.0,224,svr,20,G:\Mi unidad\Paper2\Seeds\mse_Reduced\svr\svr_converted_seed_20.csv,0.8134888104794468,5.174030021548313e-05
"[0, 7, 2, 5, 7, 0, 3, 7, 3, 2, 7, 1, 5, 4, 5, 4, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 3]",33.404253,2976.0,220,svr,20,G:\Mi unidad\Paper2\Seeds\mse_Reduced\svr\svr_converted_seed_20.csv,0.826715796532669,0.00013391607114595635
"[0, 7, 4, 4, 7, 6, 3, 7, 4, 0, 0, 0, 4, 7, 6, 5, 7, 6, 1, 1, 4, 0, 4, 1, 4, 1, 4, 4]",33.662563,3520.0,499,et,29,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_29.csv,0.860963248192665,0.00023739667157692261
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 4, 0, 4, 2, 4, 1, 4, 4]",33.895579,4320.0,460,et,5,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_5.csv,0.891857151626545,0.000389574025151873
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 4, 4]",33.994648,10192.0,287,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9049919926644612,0.0015065558003920089
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.114552,16336.0,372,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.920889195420221,0.0026752778758476277
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.241248,29168.0,374,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9376869002536176,0.0051162026271898324
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.379322,29440.0,359,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9559931316829171,0.005167942927405315
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.711242,112032.0,372,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,1.0,0.020878732910483193
