Net,PSNR,Params,Generation,Model,Seed,SourceFile,PSNR_N,Params_N
"[0, 7, 4, 4, 7, 1, 4, 7, 3, 2, 7, 1, 3, 7, 5, 4, 7, 5, 1, 7, 4, 4, 7, 4, 0, 7, 5, 4]",33.079383,2272.0,137,rf,1,G:\Mi unidad\Paper2\Seeds\mse_Reduced\rf\rf_converted_seed_1.csv,0.7836436366442298,0.0
"[0, 7, 3, 4, 7, 0, 3, 7, 3, 2, 7, 1, 4, 7, 5, 7, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 4]",33.304489,2544.0,224,svr,20,G:\Mi unidad\Paper2\Seeds\mse_Reduced\svr\svr_converted_seed_20.csv,0.8134888104794468,5.174030021548313e-05
"[0, 7, 2, 5, 7, 0, 3, 7, 3, 2, 7, 1, 5, 4, 5, 4, 7, 4, 4, 7, 1, 2, 3, 4, 0, 7, 5, 3]",33.404253,2976.0,220,svr,20,G:\Mi unidad\Paper2\Seeds\mse_Reduced\svr\svr_converted_seed_20.csv,0.826715796532669,0.00013391607114595635
"[4, 7, 3, 4, 6, 4, 4, 7, 2, 1, 7, 1, 2, 7, 7, 4, 7, 4, 1, 7, 3, 2, 2, 0, 1, 3, 4, 4]",33.487591,3360.0,301,svr,17,G:\Mi unidad\Paper2\Seeds\mse_Reduced\svr\svr_converted_seed_17.csv,0.8377649782385298,0.00020696120086193253
"[0, 7, 4, 4, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 5, 7, 6, 1, 1, 4, 0, 4, 1, 4, 1, 4, 4]",33.684407,3792.0,481,et,29,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_29.csv,0.8638593859111466,0.0002891369717924057
"[0, 7, 5, 5, 7, 6, 3, 7, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 4, 4]",33.994648,10192.0,287,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9049919926644612,0.0015065558003920089
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 1, 4, 1, 2, 4]",34.115236,16352.0,368,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9209798820252127,0.002678321422919127
"[0, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 1, 4, 1, 2, 4]",34.281894,29184.0,371,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,0.9430758589473277,0.005119246174261331
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 7, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.398991,60768.0,432,et,5,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_5.csv,0.9586009019074553,0.011127208093400372
"[1, 7, 5, 5, 7, 6, 3, 6, 4, 0, 0, 0, 5, 7, 6, 7, 6, 6, 1, 1, 2, 0, 4, 2, 4, 1, 2, 4]",34.711242,112032.0,372,et,15,G:\Mi unidad\Paper2\Seeds\mse_Reduced\et\et_converted_seed_15.csv,1.0,0.020878732910483193
