method,n_points,n_nd,igd_plus,hv_2d,min_f1,max_f1,min_f2,max_f2,cov_f1,cov_f2,r2,epsilon,coverage_c,hausdorff,hv_2d_norm
baseline_pq20,20,20,0.0,0.003854010026784537,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0069469183063981185,0.0,0.0,0.0,1.0
Hv,5,5,0.00040080766852959555,0.0037856078078675193,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007037668957940288,0.002607770224538175,0.0,0.054092481633612396,0.9822516759319159
Crowding,5,5,0.000982748475909893,0.0037132783403080343,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007001472931652437,0.003661387127013306,0.0,0.054092481633612396,0.9634843486398718
PQ,5,5,0.000982748475909893,0.0037132783403080343,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007001472931652437,0.003661387127013306,0.0,0.054092481633612396,0.9634843486398718
R2,5,5,0.001205396817667182,0.003558094496284394,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.006964412927102229,0.0026752778758476277,0.0,0.07098764242004872,0.9232187958921763
Grid,5,5,0.002048177949972638,0.003451622920820187,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.0075693265148150946,0.012917272735589402,0.0,0.026094537065103347,0.8955926156995321
Eps1,5,5,0.0023475802937432404,0.003418210850941671,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007841621424947728,0.01571078998307788,0.0,0.03089427822961467,0.8869231857690676
Tight1,5,5,0.002460484597980507,0.0034150423747134244,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.007735347774024789,0.01571078998307788,0.0,0.027185495842949246,0.8861010612270382
K-means,5,5,0.0030178126784719543,0.0036717154593771603,0.0,0.005167942927405315,-0.9559931316829171,-0.7836436366442298,0.24752186588921282,0.7966000739034458,0.0221351077835122,0.04400686831708289,0.0,0.046727223124956335,0.9527000277268433
Entropy,5,5,0.011624277754209501,0.0015654737387408107,0.0,0.020878732910483193,-1.0,-0.7836436366442298,1.0,1.0,0.00906172214825025,0.02064133623890627,0.0,0.08117810774129923,0.4061934784448163
