Model,File,dup_groups,dup_rows
ensemble,ensemble_converted_seed_1.csv,1663,47807
ensemble,ensemble_converted_seed_10.csv,1525,47928
ensemble,ensemble_converted_seed_11.csv,1618,47850
ensemble,ensemble_converted_seed_12.csv,2119,47082
ensemble,ensemble_converted_seed_13.csv,1792,47543
ensemble,ensemble_converted_seed_14.csv,1454,47985
ensemble,ensemble_converted_seed_15.csv,2196,47088
ensemble,ensemble_converted_seed_16.csv,2115,47205
ensemble,ensemble_converted_seed_17.csv,1755,47655
ensemble,ensemble_converted_seed_18.csv,2089,47251
ensemble,ensemble_converted_seed_19.csv,1859,47489
ensemble,ensemble_converted_seed_2.csv,1577,47851
ensemble,ensemble_converted_seed_20.csv,1705,47720
ensemble,ensemble_converted_seed_21.csv,1815,47601
ensemble,ensemble_converted_seed_22.csv,1654,47762
ensemble,ensemble_converted_seed_23.csv,1527,47889
ensemble,ensemble_converted_seed_24.csv,1669,47718
ensemble,ensemble_converted_seed_25.csv,1786,47561
ensemble,ensemble_converted_seed_26.csv,1560,47891
ensemble,ensemble_converted_seed_27.csv,1657,47779
ensemble,ensemble_converted_seed_28.csv,1837,47547
ensemble,ensemble_converted_seed_29.csv,2057,47299
ensemble,ensemble_converted_seed_3.csv,1616,47790
ensemble,ensemble_converted_seed_30.csv,1909,47459
ensemble,ensemble_converted_seed_4.csv,1772,47624
ensemble,ensemble_converted_seed_5.csv,1583,47894
ensemble,ensemble_converted_seed_6.csv,1464,48001
ensemble,ensemble_converted_seed_7.csv,2041,47263
ensemble,ensemble_converted_seed_8.csv,1790,47600
ensemble,ensemble_converted_seed_9.csv,2011,47345
et,et_converted_seed_1.csv,1714,47715
et,et_converted_seed_10.csv,2195,47031
et,et_converted_seed_11.csv,3066,45595
et,et_converted_seed_12.csv,2116,47080
et,et_converted_seed_13.csv,2039,47318
et,et_converted_seed_14.csv,2779,46061
et,et_converted_seed_15.csv,2555,46392
et,et_converted_seed_16.csv,2390,46540
et,et_converted_seed_17.csv,2170,47040
et,et_converted_seed_18.csv,2175,47129
et,et_converted_seed_19.csv,2574,46386
et,et_converted_seed_2.csv,2453,46695
et,et_converted_seed_20.csv,1725,47759
et,et_converted_seed_21.csv,1894,47399
et,et_converted_seed_22.csv,2934,45692
et,et_converted_seed_23.csv,2073,47217
et,et_converted_seed_24.csv,2258,46840
et,et_converted_seed_25.csv,2732,46062
et,et_converted_seed_26.csv,3160,45583
et,et_converted_seed_27.csv,2908,45889
et,et_converted_seed_28.csv,2138,47102
et,et_converted_seed_29.csv,1994,47368
et,et_converted_seed_3.csv,2325,46698
et,et_converted_seed_30.csv,2285,46872
et,et_converted_seed_4.csv,1772,47585
et,et_converted_seed_5.csv,2904,45891
et,et_converted_seed_6.csv,2358,46615
et,et_converted_seed_7.csv,2630,46327
et,et_converted_seed_8.csv,2353,46835
et,et_converted_seed_9.csv,2558,46332
gbrt,gbrt_converted_seed_1.csv,2867,45872
gbrt,gbrt_converted_seed_10.csv,2693,46267
gbrt,gbrt_converted_seed_11.csv,1733,47663
gbrt,gbrt_converted_seed_12.csv,3125,45218
gbrt,gbrt_converted_seed_13.csv,3642,44581
gbrt,gbrt_converted_seed_14.csv,2315,46830
gbrt,gbrt_converted_seed_15.csv,2590,46426
gbrt,gbrt_converted_seed_16.csv,2766,45985
gbrt,gbrt_converted_seed_17.csv,2263,46862
gbrt,gbrt_converted_seed_18.csv,2342,46750
gbrt,gbrt_converted_seed_19.csv,2237,46879
gbrt,gbrt_converted_seed_2.csv,2089,47092
gbrt,gbrt_converted_seed_20.csv,2964,45772
gbrt,gbrt_converted_seed_21.csv,3268,45313
gbrt,gbrt_converted_seed_22.csv,3662,44468
gbrt,gbrt_converted_seed_23.csv,2843,45862
gbrt,gbrt_converted_seed_24.csv,2219,46856
gbrt,gbrt_converted_seed_25.csv,2232,46995
gbrt,gbrt_converted_seed_26.csv,3547,44878
gbrt,gbrt_converted_seed_27.csv,1600,47840
gbrt,gbrt_converted_seed_28.csv,2145,47109
gbrt,gbrt_converted_seed_29.csv,2944,45830
gbrt,gbrt_converted_seed_3.csv,2124,46978
gbrt,gbrt_converted_seed_30.csv,2907,45614
gbrt,gbrt_converted_seed_4.csv,1587,47876
gbrt,gbrt_converted_seed_5.csv,3744,44520
gbrt,gbrt_converted_seed_6.csv,2200,46943
gbrt,gbrt_converted_seed_7.csv,2853,45855
gbrt,gbrt_converted_seed_8.csv,2049,47236
gbrt,gbrt_converted_seed_9.csv,2689,46268
gpr,gpr_converted_seed_1.csv,1761,47627
gpr,gpr_converted_seed_10.csv,1736,47734
gpr,gpr_converted_seed_11.csv,1662,47778
gpr,gpr_converted_seed_12.csv,1608,47920
gpr,gpr_converted_seed_13.csv,1782,47660
gpr,gpr_converted_seed_14.csv,1908,47536
gpr,gpr_converted_seed_15.csv,1627,47846
gpr,gpr_converted_seed_16.csv,1573,47925
gpr,gpr_converted_seed_17.csv,1354,48220
gpr,gpr_converted_seed_18.csv,1631,47860
gpr,gpr_converted_seed_19.csv,1895,47522
gpr,gpr_converted_seed_2.csv,2056,47377
gpr,gpr_converted_seed_20.csv,1583,47830
gpr,gpr_converted_seed_21.csv,2049,47286
gpr,gpr_converted_seed_22.csv,1542,48024
gpr,gpr_converted_seed_23.csv,1769,47777
gpr,gpr_converted_seed_24.csv,1898,47532
gpr,gpr_converted_seed_25.csv,1662,47786
gpr,gpr_converted_seed_26.csv,1782,47610
gpr,gpr_converted_seed_27.csv,1516,48050
gpr,gpr_converted_seed_28.csv,1954,47415
gpr,gpr_converted_seed_29.csv,1424,48177
gpr,gpr_converted_seed_3.csv,3308,45628
gpr,gpr_converted_seed_30.csv,1821,47617
gpr,gpr_converted_seed_4.csv,1692,47745
gpr,gpr_converted_seed_5.csv,1567,47946
gpr,gpr_converted_seed_6.csv,2157,47151
gpr,gpr_converted_seed_7.csv,1765,47680
gpr,gpr_converted_seed_8.csv,1701,47826
gpr,gpr_converted_seed_9.csv,1773,47703
knn,knn_converted_seed_1.csv,1639,47743
knn,knn_converted_seed_10.csv,1238,48252
knn,knn_converted_seed_11.csv,1878,47416
knn,knn_converted_seed_12.csv,1160,48421
knn,knn_converted_seed_13.csv,1845,47430
knn,knn_converted_seed_14.csv,1672,47712
knn,knn_converted_seed_15.csv,2765,46130
knn,knn_converted_seed_16.csv,2034,46973
knn,knn_converted_seed_17.csv,2055,47093
knn,knn_converted_seed_18.csv,1320,48114
knn,knn_converted_seed_19.csv,2262,46539
knn,knn_converted_seed_2.csv,2232,46768
knn,knn_converted_seed_20.csv,1613,47866
knn,knn_converted_seed_21.csv,2316,46637
knn,knn_converted_seed_22.csv,1838,47521
knn,knn_converted_seed_23.csv,2024,47100
knn,knn_converted_seed_24.csv,2449,46561
knn,knn_converted_seed_25.csv,1503,47968
knn,knn_converted_seed_26.csv,1191,48399
knn,knn_converted_seed_27.csv,1976,47244
knn,knn_converted_seed_28.csv,1490,47970
knn,knn_converted_seed_29.csv,1817,47394
knn,knn_converted_seed_3.csv,2857,45934
knn,knn_converted_seed_30.csv,1762,47521
knn,knn_converted_seed_4.csv,2571,46412
knn,knn_converted_seed_5.csv,2097,47136
knn,knn_converted_seed_6.csv,2832,45796
