Net,PSNR,Params,Generation
"[0, 0, 2, 2, 6, 5, 3, 0, 6, 5, 1, 2, 7, 1, 4, 0, 2, 4, 1, 4, 7, 6, 4, 5, 3, 1, 5, 2]",32.148576,82016.0,1
"[4, 6, 0, 3, 7, 0, 1, 4, 0, 0, 0, 7, 0, 7, 7, 0, 4, 4, 2, 3, 3, 0, 3, 0, 7, 7, 4, 5]",31.293068,30784.0,1
"[0, 7, 5, 7, 1, 2, 6, 4, 6, 0, 5, 0, 7, 7, 4, 2, 3, 4, 5, 7, 2, 1, 6, 7, 0, 2, 6, 0]",31.394054,46272.0,1
"[0, 1, 2, 0, 0, 5, 4, 5, 2, 4, 5, 1, 7, 7, 4, 2, 7, 5, 0, 2, 5, 5, 4, 1, 2, 0, 1, 6]",31.541509,60048.0,1
"[4, 7, 0, 3, 7, 0, 1, 4, 7, 3, 2, 5, 6, 3, 4, 4, 1, 4, 1, 5, 4, 3, 4, 0, 0, 7, 4, 5]",30.395073,19184.0,1
"[0, 3, 1, 2, 5, 0, 3, 4, 4, 5, 7, 3, 6, 3, 4, 6, 2, 0, 6, 5, 4, 2, 5, 5, 1, 4, 5, 4]",31.139022,30832.0,1
"[3, 6, 5, 2, 4, 7, 2, 7, 1, 6, 0, 7, 0, 3, 7, 3, 1, 2, 0, 4, 3, 2, 7, 3, 3, 7, 4, 2]",31.166763,1270048.0,1
"[5, 5, 2, 5, 6, 3, 4, 0, 2, 6, 4, 1, 2, 4, 7, 2, 6, 4, 2, 3, 3, 0, 3, 0, 7, 7, 4, 5]",30.68029,311264.0,1
"[4, 0, 2, 2, 7, 0, 7, 7, 3, 3, 1, 2, 7, 7, 1, 5, 7, 3, 5, 2, 4, 4, 0, 6, 1, 2, 3, 2]",32.128589,97968.0,1
"[0, 6, 4, 2, 3, 1, 7, 5, 0, 1, 3, 1, 1, 5, 4, 3, 6, 4, 7, 3, 7, 0, 5, 0, 7, 6, 4, 0]",31.099719,42288.0,1
"[7, 4, 5, 7, 2, 1, 5, 7, 1, 3, 5, 0, 7, 2, 5, 4, 2, 5, 5, 3, 1, 2, 7, 1, 2, 7, 4, 5]",31.290552,390752.0,1
"[5, 2, 7, 6, 0, 4, 2, 5, 6, 2, 4, 4, 7, 0, 4, 2, 7, 5, 0, 2, 5, 5, 4, 1, 2, 0, 1, 6]",31.25405,381280.0,1
"[0, 2, 7, 4, 5, 6, 2, 1, 1, 0, 7, 5, 6, 5, 3, 4, 3, 6, 0, 3, 2, 1, 0, 2, 0, 2, 0, 5]",30.86873,113184.0,1
"[5, 6, 6, 4, 3, 6, 6, 6, 2, 0, 2, 5, 7, 0, 2, 5, 4, 0, 1, 3, 2, 3, 0, 5, 5, 0, 4, 4]",31.082087,345184.0,1
"[1, 3, 5, 5, 4, 6, 7, 7, 2, 5, 0, 5, 1, 4, 6, 7, 7, 1, 5, 0, 7, 4, 0, 1, 6, 6, 4, 6]",30.731513,137664.0,1
"[0, 4, 4, 1, 4, 5, 1, 4, 4, 6, 4, 4, 4, 1, 5, 1, 3, 5, 4, 3, 1, 3, 4, 7, 7, 2, 6, 6]",30.414056,44736.0,1
"[0, 3, 1, 2, 5, 0, 3, 4, 4, 5, 6, 7, 0, 7, 2, 6, 4, 0, 6, 5, 4, 3, 5, 5, 1, 4, 5, 4]",30.309341,43808.0,1
"[0, 3, 1, 2, 5, 0, 3, 4, 4, 5, 7, 7, 1, 5, 0, 6, 0, 7, 6, 5, 4, 3, 5, 5, 1, 4, 5, 4]",30.153107,71424.0,1
"[5, 6, 5, 0, 4, 2, 1, 3, 2, 6, 5, 7, 7, 3, 1, 6, 0, 0, 3, 7, 2, 0, 3, 7, 1, 0, 2, 4]",31.471302,675168.0,1
"[5, 6, 0, 2, 7, 3, 3, 2, 7, 3, 2, 6, 6, 3, 4, 4, 1, 4, 1, 5, 4, 3, 4, 6, 3, 1, 7, 6]",31.24383,463968.0,1
"[1, 6, 2, 0, 0, 3, 6, 6, 3, 3, 4, 7, 6, 6, 5, 0, 1, 1, 5, 6, 1, 3, 7, 3, 2, 4, 1, 5]",31.152848,456992.0,1
"[0, 3, 2, 7, 5, 3, 4, 0, 4, 1, 6, 7, 1, 0, 4, 7, 1, 2, 4, 5, 6, 0, 4, 4, 6, 2, 7, 2]",29.92159,141136.0,1
"[1, 3, 5, 0, 5, 0, 5, 0, 1, 3, 7, 3, 0, 5, 1, 2, 7, 7, 1, 7, 7, 4, 0, 1, 6, 6, 4, 6]",31.673345,153888.0,1
"[4, 1, 7, 0, 2, 2, 1, 4, 0, 2, 1, 5, 3, 7, 0, 4, 3, 1, 1, 7, 4, 4, 4, 3, 5, 0, 4, 7]",31.067144,45728.0,1
"[0, 3, 5, 2, 7, 6, 0, 7, 7, 5, 5, 0, 0, 7, 2, 3, 2, 5, 1, 3, 6, 6, 7, 2, 4, 2, 6, 5]",30.496389,47088.0,1
"[0, 7, 3, 4, 0, 0, 5, 5, 4, 3, 1, 3, 4, 2, 4, 7, 3, 7, 5, 3, 6, 5, 2, 6, 1, 7, 5, 5]",30.552874,71792.0,1
"[0, 5, 2, 6, 6, 2, 1, 5, 1, 5, 0, 2, 1, 7, 4, 1, 2, 5, 7, 0, 2, 4, 1, 4, 7, 6, 2, 2]",30.662493,117520.0,1
"[7, 3, 5, 0, 0, 5, 4, 3, 2, 5, 5, 1, 7, 7, 4, 2, 7, 5, 0, 2, 5, 5, 4, 1, 2, 0, 1, 6]",31.784059,820192.0,1
"[6, 7, 3, 5, 6, 0, 2, 1, 3, 2, 1, 7, 4, 7, 2, 6, 4, 0, 5, 5, 0, 6, 7, 1, 0, 1, 0, 3]",31.026416,508416.0,1
