model,file,rows_before,rows_after,removed,dup_groups,dup_rows,msg
ensemble,ensemble_converted_seed_1.csv,50000,2193,47807,1663,47807,
ensemble,ensemble_converted_seed_10.csv,50000,2072,47928,1525,47928,
ensemble,ensemble_converted_seed_11.csv,50000,2150,47850,1618,47850,
ensemble,ensemble_converted_seed_12.csv,50000,2918,47082,2119,47082,
ensemble,ensemble_converted_seed_13.csv,50000,2457,47543,1792,47543,
ensemble,ensemble_converted_seed_14.csv,50000,2015,47985,1454,47985,
ensemble,ensemble_converted_seed_15.csv,50000,2912,47088,2196,47088,
ensemble,ensemble_converted_seed_16.csv,50000,2795,47205,2115,47205,
ensemble,ensemble_converted_seed_17.csv,50000,2345,47655,1755,47655,
ensemble,ensemble_converted_seed_18.csv,50000,2749,47251,2089,47251,
ensemble,ensemble_converted_seed_19.csv,50000,2511,47489,1859,47489,
ensemble,ensemble_converted_seed_2.csv,50000,2149,47851,1577,47851,
ensemble,ensemble_converted_seed_20.csv,50000,2280,47720,1705,47720,
ensemble,ensemble_converted_seed_21.csv,50000,2399,47601,1815,47601,
ensemble,ensemble_converted_seed_22.csv,50000,2238,47762,1654,47762,
ensemble,ensemble_converted_seed_23.csv,50000,2111,47889,1527,47889,
ensemble,ensemble_converted_seed_24.csv,50000,2282,47718,1669,47718,
ensemble,ensemble_converted_seed_25.csv,50000,2439,47561,1786,47561,
ensemble,ensemble_converted_seed_26.csv,50000,2109,47891,1560,47891,
ensemble,ensemble_converted_seed_27.csv,50000,2221,47779,1657,47779,
ensemble,ensemble_converted_seed_28.csv,50000,2453,47547,1837,47547,
ensemble,ensemble_converted_seed_29.csv,50000,2701,47299,2057,47299,
ensemble,ensemble_converted_seed_3.csv,50000,2210,47790,1616,47790,
ensemble,ensemble_converted_seed_30.csv,50000,2541,47459,1909,47459,
ensemble,ensemble_converted_seed_4.csv,50000,2376,47624,1772,47624,
ensemble,ensemble_converted_seed_5.csv,50000,2106,47894,1583,47894,
ensemble,ensemble_converted_seed_6.csv,50000,1999,48001,1464,48001,
ensemble,ensemble_converted_seed_7.csv,50000,2737,47263,2041,47263,
ensemble,ensemble_converted_seed_8.csv,50000,2400,47600,1790,47600,
ensemble,ensemble_converted_seed_9.csv,50000,2655,47345,2011,47345,
et,et_converted_seed_1.csv,50000,2285,47715,1714,47715,
et,et_converted_seed_10.csv,50000,2969,47031,2195,47031,
