Net,PSNR,Params,Generation
"[0, 2, 2, 5, 7, 2, 6, 0, 4, 5, 5, 0, 4, 7, 1, 2, 2, 4, 5, 4, 6, 6, 0, 5, 0, 4, 5, 0]",29.928551,22144.0,1
"[1, 4, 7, 2, 7, 0, 3, 6, 6, 3, 0, 5, 0, 2, 4, 4, 3, 1, 6, 6, 3, 5, 2, 3, 1, 2, 5, 6]",31.428672,381568.0,1
"[0, 2, 0, 2, 1, 0, 1, 5, 4, 6, 2, 3, 5, 0, 5, 2, 6, 1, 6, 2, 4, 6, 7, 1, 4, 2, 6, 0]",30.652061,53312.0,1
"[0, 3, 6, 4, 3, 0, 5, 2, 1, 3, 2, 5, 0, 1, 7, 2, 7, 5, 4, 1, 7, 5, 3, 6, 3, 3, 3, 4]",31.177973,121856.0,1
"[4, 0, 1, 6, 5, 4, 6, 1, 5, 7, 5, 4, 0, 5, 4, 5, 7, 5, 6, 3, 4, 4, 4, 3, 4, 1, 0, 6]",30.146151,27488.0,1
"[0, 6, 0, 6, 6, 4, 0, 6, 4, 3, 3, 0, 5, 4, 0, 7, 7, 1, 4, 7, 1, 6, 2, 3, 3, 3, 4, 6]",31.113511,57264.0,1
"[0, 6, 6, 2, 1, 5, 5, 0, 1, 6, 6, 1, 7, 1, 5, 7, 4, 1, 3, 5, 6, 3, 2, 2, 0, 7, 0, 3]",30.91678,116592.0,1
"[0, 6, 6, 2, 1, 5, 5, 0, 1, 6, 6, 1, 7, 1, 5, 7, 4, 1, 3, 5, 6, 2, 6, 1, 3, 0, 0, 3]",31.054069,106352.0,1
"[1, 1, 7, 5, 3, 6, 4, 7, 6, 1, 7, 4, 7, 0, 4, 2, 6, 5, 2, 5, 4, 4, 6, 1, 7, 0, 6, 0]",30.695259,228352.0,1
"[0, 1, 0, 0, 0, 6, 0, 3, 1, 0, 1, 5, 0, 3, 4, 6, 4, 0, 2, 2, 3, 4, 6, 4, 5, 2, 0, 6]",30.65874,29248.0,1
"[0, 0, 6, 0, 4, 6, 7, 6, 0, 0, 7, 1, 5, 5, 5, 7, 0, 1, 0, 3, 0, 7, 2, 7, 5, 4, 3, 2]",30.238999,65408.0,1
"[4, 7, 0, 3, 7, 5, 6, 6, 3, 2, 2, 1, 3, 0, 0, 2, 3, 4, 1, 3, 7, 6, 4, 6, 1, 7, 4, 5]",30.688552,89648.0,1
"[0, 2, 6, 5, 2, 3, 3, 0, 0, 4, 0, 0, 0, 1, 5, 0, 4, 4, 2, 7, 4, 6, 0, 3, 4, 4, 6, 5]",31.127336,83056.0,1
"[0, 6, 6, 2, 1, 5, 5, 0, 1, 6, 7, 1, 7, 1, 5, 7, 4, 1, 3, 5, 6, 3, 2, 2, 0, 7, 0, 4]",30.77184,107312.0,1
"[6, 7, 6, 6, 4, 7, 5, 1, 6, 1, 5, 6, 4, 1, 7, 3, 7, 1, 3, 0, 4, 4, 4, 4, 4, 7, 5, 1]",30.755627,710448.0,1
