Net,PSNR,Params,Generation
"[0, 4, 2, 2, 6, 0, 1, 1, 0, 0, 3, 4, 0, 3, 2, 1, 7, 2, 1, 3, 2, 4, 4, 7, 6, 1, 7, 3]",31.013767,78128.0,1
"[2, 2, 3, 0, 2, 7, 7, 6, 3, 5, 6, 2, 2, 7, 6, 3, 0, 4, 7, 7, 4, 1, 3, 2, 6, 1, 5, 4]",30.921574,1173312.0,1
"[4, 5, 2, 1, 0, 0, 0, 1, 1, 1, 4, 0, 0, 5, 1, 1, 1, 6, 6, 7, 2, 5, 0, 0, 3, 7, 0, 4]",30.183355,67184.0,1
"[0, 2, 7, 1, 1, 1, 4, 7, 6, 4, 1, 6, 3, 5, 0, 0, 4, 3, 1, 1, 0, 5, 4, 0, 7, 1, 2, 1]",30.750077,73248.0,1
"[4, 2, 5, 2, 4, 7, 4, 4, 5, 2, 3, 7, 4, 2, 0, 1, 5, 6, 0, 5, 4, 1, 4, 5, 4, 3, 3, 2]",29.476271,79280.0,1
"[2, 6, 3, 4, 5, 6, 0, 1, 3, 0, 6, 6, 7, 4, 6, 0, 4, 6, 6, 4, 2, 2, 5, 4, 2, 6, 7, 4]",30.322464,752352.0,1
"[2, 7, 0, 0, 7, 0, 3, 4, 2, 1, 2, 6, 0, 0, 2, 2, 0, 5, 2, 1, 4, 3, 4, 0, 3, 5, 1, 1]",31.118314,420336.0,1
"[5, 1, 5, 2, 1, 1, 1, 0, 7, 5, 2, 4, 1, 5, 5, 4, 2, 7, 1, 4, 2, 2, 5, 3, 5, 1, 2, 5]",29.634833,543168.0,1
"[4, 3, 6, 5, 5, 4, 2, 3, 6, 3, 7, 4, 4, 6, 4, 6, 5, 6, 4, 7, 7, 4, 7, 2, 4, 6, 7, 6]",29.743691,96864.0,1
"[7, 1, 1, 5, 4, 0, 6, 5, 3, 4, 3, 1, 3, 3, 3, 1, 3, 7, 6, 6, 4, 3, 4, 4, 3, 5, 4, 5]",29.494799,1730720.0,1
"[0, 4, 1, 4, 5, 4, 2, 3, 2, 3, 7, 4, 4, 6, 4, 6, 5, 4, 2, 4, 1, 4, 6, 2, 7, 2, 5, 2]",29.460889,69056.0,1
"[0, 1, 5, 7, 5, 0, 1, 2, 2, 2, 0, 7, 4, 0, 5, 3, 2, 0, 4, 1, 0, 4, 0, 0, 3, 0, 2, 3]",30.673952,82208.0,1
"[0, 1, 5, 7, 5, 0, 1, 2, 2, 2, 0, 7, 4, 0, 5, 3, 2, 0, 6, 3, 5, 4, 0, 0, 3, 0, 2, 3]",30.673839,84800.0,1
"[0, 5, 4, 4, 5, 2, 5, 1, 1, 2, 0, 5, 3, 1, 5, 2, 5, 6, 4, 5, 4, 5, 3, 3, 4, 0, 4, 6]",30.640485,84832.0,1
"[7, 2, 3, 0, 7, 2, 7, 3, 5, 0, 7, 5, 0, 4, 3, 6, 6, 3, 0, 4, 3, 4, 1, 3, 4, 7, 7, 3]",30.302824,677472.0,1
"[5, 6, 7, 1, 1, 2, 5, 1, 6, 1, 1, 0, 4, 5, 1, 3, 2, 7, 2, 2, 5, 0, 2, 3, 5, 6, 2, 1]",30.586037,604864.0,1
"[5, 4, 4, 0, 1, 6, 4, 6, 7, 7, 3, 2, 3, 7, 1, 3, 0, 6, 3, 6, 2, 0, 6, 2, 7, 7, 1, 4]",30.506954,565248.0,1
"[0, 7, 3, 7, 1, 3, 1, 3, 3, 7, 1, 1, 2, 2, 6, 2, 5, 5, 6, 4, 7, 5, 5, 0, 2, 6, 1, 5]",29.943924,130496.0,1
"[0, 7, 6, 5, 5, 3, 1, 4, 7, 0, 6, 6, 5, 3, 2, 2, 5, 2, 4, 7, 3, 0, 3, 1, 0, 4, 0, 0]",31.287288,106736.0,1
"[7, 1, 1, 1, 5, 1, 3, 3, 4, 7, 5, 0, 3, 2, 1, 4, 7, 3, 3, 7, 3, 7, 7, 7, 5, 7, 3, 4]",30.479867,537120.0,1
"[6, 0, 4, 4, 3, 5, 5, 0, 3, 6, 4, 5, 5, 2, 1, 1, 2, 5, 7, 5, 6, 7, 2, 1, 7, 1, 1, 2]",30.814537,1155024.0,1
"[0, 3, 0, 7, 6, 6, 3, 2, 3, 4, 7, 6, 4, 7, 7, 5, 6, 1, 6, 2, 5, 3, 0, 7, 5, 6, 5, 6]",30.280725,89904.0,1
"[0, 4, 7, 7, 6, 6, 3, 2, 3, 4, 7, 6, 4, 7, 7, 5, 6, 1, 6, 2, 5, 3, 0, 7, 5, 6, 5, 1]",30.526971,90784.0,1
"[3, 2, 2, 7, 3, 5, 1, 3, 0, 6, 4, 7, 2, 7, 6, 7, 2, 0, 3, 0, 1, 0, 6, 4, 5, 3, 6, 5]",30.048819,793888.0,1
"[0, 1, 1, 2, 1, 5, 3, 5, 5, 5, 0, 1, 4, 0, 3, 5, 3, 0, 3, 5, 3, 2, 3, 1, 0, 1, 7, 3]",29.867414,192320.0,1
"[0, 4, 0, 1, 3, 2, 3, 2, 6, 2, 5, 1, 7, 2, 1, 0, 1, 3, 2, 0, 5, 0, 2, 6, 7, 0, 7, 3]",30.601585,187968.0,1
