Net,PSNR,Params,Generation
"[4, 6, 6, 4, 7, 6, 6, 2, 4, 7, 2, 3, 7, 4, 1, 6, 2, 4, 1, 7, 0, 6, 2, 6, 0, 0, 6, 3]",31.555696,93936.0,1
"[4, 4, 4, 1, 7, 2, 7, 5, 3, 4, 6, 7, 4, 3, 7, 5, 1, 3, 0, 4, 0, 4, 3, 5, 0, 2, 5, 0]",30.670667,85312.0,1
"[0, 2, 5, 3, 4, 6, 1, 2, 0, 4, 6, 4, 6, 1, 3, 1, 0, 6, 5, 3, 1, 5, 1, 3, 0, 7, 5, 1]",31.263634,69168.0,1
"[4, 2, 5, 2, 4, 2, 0, 6, 5, 0, 2, 2, 1, 5, 2, 1, 5, 3, 6, 5, 5, 2, 3, 6, 0, 1, 0, 1]",31.548652,158624.0,1
"[0, 3, 5, 3, 4, 6, 1, 2, 0, 4, 6, 4, 6, 1, 3, 6, 0, 6, 5, 3, 1, 5, 1, 3, 0, 7, 5, 1]",30.367583,81728.0,1
"[4, 0, 4, 2, 0, 5, 6, 0, 7, 4, 2, 6, 2, 2, 1, 5, 6, 4, 1, 0, 6, 2, 0, 6, 1, 0, 5, 1]",30.53036,83760.0,1
"[4, 2, 0, 7, 2, 4, 3, 0, 3, 3, 2, 1, 6, 4, 2, 7, 4, 5, 4, 4, 2, 5, 2, 0, 7, 0, 5, 5]",29.679309,71936.0,1
"[7, 1, 5, 0, 2, 2, 2, 7, 2, 6, 0, 1, 2, 6, 1, 7, 4, 3, 4, 4, 0, 6, 3, 2, 0, 4, 7, 4]",29.656751,741664.0,1
"[1, 4, 3, 3, 2, 6, 4, 1, 5, 0, 3, 0, 5, 6, 0, 0, 2, 3, 7, 0, 1, 4, 3, 7, 1, 7, 4, 7]",31.43654,363616.0,1
"[7, 1, 5, 0, 7, 1, 4, 2, 6, 2, 7, 5, 7, 5, 1, 7, 4, 3, 4, 4, 0, 6, 3, 2, 0, 4, 7, 4]",30.869522,816736.0,1
"[1, 0, 2, 5, 4, 2, 2, 0, 6, 3, 0, 5, 4, 4, 3, 2, 6, 3, 5, 0, 0, 3, 5, 5, 2, 3, 0, 1]",30.457792,351520.0,1
"[0, 5, 3, 1, 0, 1, 3, 7, 4, 7, 6, 6, 7, 3, 0, 2, 0, 5, 4, 7, 4, 7, 1, 1, 6, 3, 0, 4]",30.432587,102080.0,1
"[3, 2, 0, 7, 4, 2, 5, 7, 0, 4, 2, 1, 6, 4, 2, 7, 4, 5, 4, 5, 0, 5, 2, 5, 0, 7, 3, 6]",31.200826,246560.0,1
