Net,PSNR,Params,Generation
"[0, 0, 1, 3, 5, 6, 1, 2, 5, 0, 7, 2, 6, 6, 4, 2, 6, 3, 0, 0, 2, 7, 2, 2, 1, 3, 4, 6]",31.418522,94944.0,1
"[4, 3, 2, 5, 7, 0, 2, 6, 6, 5, 0, 6, 6, 0, 2, 6, 6, 6, 1, 4, 1, 1, 7, 6, 5, 7, 5, 4]",30.676842,80128.0,1
"[4, 1, 5, 2, 3, 4, 4, 4, 2, 5, 3, 4, 6, 7, 2, 5, 0, 4, 1, 7, 6, 5, 2, 1, 7, 5, 4, 5]",30.271474,23792.0,1
"[1, 2, 6, 6, 0, 1, 6, 6, 0, 4, 0, 1, 6, 7, 7, 7, 7, 2, 4, 3, 6, 2, 4, 4, 2, 1, 5, 0]",31.557179,227392.0,1
"[0, 0, 1, 3, 5, 6, 1, 2, 5, 0, 7, 2, 6, 6, 4, 2, 6, 0, 0, 0, 2, 7, 2, 2, 1, 2, 4, 6]",31.463315,82656.0,1
"[0, 1, 6, 3, 7, 7, 7, 4, 0, 4, 6, 1, 7, 3, 5, 0, 7, 2, 0, 4, 3, 7, 1, 6, 2, 6, 6, 2]",31.486079,82624.0,1
"[4, 1, 5, 7, 7, 2, 7, 0, 7, 0, 4, 0, 5, 2, 2, 4, 4, 4, 6, 2, 5, 6, 1, 3, 0, 0, 1, 6]",30.652989,58528.0,1
"[4, 2, 1, 7, 0, 4, 5, 0, 2, 1, 4, 0, 1, 7, 2, 5, 6, 0, 3, 3, 0, 0, 3, 6, 0, 0, 4, 1]",30.84202,33856.0,1
"[2, 7, 6, 2, 6, 6, 4, 7, 5, 6, 4, 6, 7, 7, 2, 4, 6, 6, 4, 3, 7, 0, 5, 3, 3, 1, 4, 6]",31.043495,1197696.0,1
"[1, 6, 4, 3, 6, 0, 2, 0, 2, 2, 2, 0, 3, 5, 5, 4, 2, 0, 0, 5, 3, 0, 5, 5, 4, 3, 6, 0]",31.340721,267776.0,1
"[6, 5, 0, 2, 2, 5, 6, 6, 2, 1, 6, 0, 1, 7, 6, 2, 5, 1, 0, 7, 7, 7, 3, 1, 4, 2, 5, 5]",31.488799,327168.0,1
"[4, 2, 3, 6, 6, 1, 4, 5, 1, 4, 3, 0, 5, 5, 3, 4, 7, 6, 6, 2, 3, 0, 1, 0, 1, 7, 5, 2]",31.618236,88656.0,1
"[4, 7, 5, 0, 5, 1, 3, 0, 6, 2, 2, 1, 0, 0, 6, 3, 6, 5, 0, 1, 2, 1, 7, 0, 5, 4, 4, 0]",31.040502,86912.0,1
"[5, 1, 1, 6, 7, 3, 3, 5, 1, 7, 6, 4, 2, 7, 7, 0, 4, 1, 0, 6, 7, 5, 5, 6, 4, 7, 0, 1]",30.945889,277024.0,1
"[3, 1, 5, 2, 1, 0, 4, 7, 2, 4, 7, 6, 1, 1, 0, 4, 7, 4, 3, 0, 5, 6, 7, 4, 1, 5, 1, 2]",30.734332,488864.0,1
"[1, 2, 6, 6, 0, 1, 6, 6, 3, 3, 0, 0, 1, 4, 5, 1, 4, 2, 5, 3, 6, 2, 4, 4, 2, 1, 5, 0]",31.40979,408064.0,1
"[6, 5, 0, 2, 1, 5, 3, 6, 2, 1, 6, 0, 6, 7, 6, 2, 5, 1, 0, 7, 7, 7, 3, 1, 4, 2, 5, 5]",31.054832,350304.0,1
"[4, 2, 3, 6, 6, 1, 4, 5, 1, 4, 3, 1, 5, 5, 3, 4, 7, 6, 6, 1, 3, 0, 1, 0, 1, 7, 5, 2]",31.561787,92752.0,1
"[5, 0, 2, 1, 7, 0, 6, 2, 0, 2, 7, 3, 5, 4, 5, 7, 6, 4, 5, 1, 5, 1, 4, 5, 1, 4, 3, 4]",30.261734,90400.0,1
"[1, 6, 7, 5, 3, 0, 0, 0, 6, 0, 2, 3, 7, 6, 6, 1, 0, 3, 7, 4, 2, 5, 5, 3, 0, 3, 7, 7]",31.459712,894784.0,1
"[7, 3, 1, 7, 1, 0, 6, 0, 6, 0, 2, 1, 2, 7, 6, 6, 4, 7, 0, 1, 1, 3, 7, 1, 2, 6, 5, 2]",31.400606,648096.0,1
"[6, 6, 6, 4, 3, 1, 4, 0, 1, 1, 2, 6, 6, 7, 2, 4, 1, 2, 4, 1, 4, 4, 7, 2, 0, 5, 0, 0]",30.949316,369120.0,1
"[4, 1, 3, 3, 7, 3, 2, 6, 3, 4, 4, 4, 1, 4, 7, 3, 7, 3, 5, 4, 3, 4, 3, 7, 1, 6, 0, 7]",30.057911,97248.0,1
"[5, 2, 5, 7, 1, 1, 4, 1, 6, 1, 0, 0, 2, 5, 0, 3, 1, 0, 0, 0, 4, 0, 6, 0, 0, 0, 5, 2]",31.277256,153312.0,1
