Net,PSNR,Params,Generation
"[0, 1, 0, 5, 6, 1, 1, 0, 3, 5, 4, 7, 2, 4, 4, 0, 0, 5, 5, 7, 5, 4, 1, 7, 0, 0, 0, 1]",31.632138,53840.0,1
"[0, 4, 6, 6, 1, 1, 5, 7, 1, 5, 4, 6, 1, 5, 5, 0, 6, 5, 7, 7, 0, 3, 5, 2, 0, 7, 1, 4]",30.781812,39312.0,1
"[0, 7, 6, 3, 6, 0, 4, 7, 1, 6, 7, 3, 1, 3, 5, 7, 2, 2, 7, 2, 2, 3, 6, 2, 0, 4, 2, 0]",31.558775,70256.0,1
"[2, 1, 6, 1, 2, 2, 0, 6, 1, 2, 3, 1, 6, 3, 5, 0, 1, 0, 7, 3, 1, 4, 7, 6, 1, 0, 1, 5]",31.697345,396816.0,1
"[4, 4, 3, 3, 2, 1, 5, 0, 6, 5, 1, 4, 4, 2, 5, 6, 3, 0, 6, 1, 2, 4, 1, 0, 7, 6, 0, 1]",28.884648,40128.0,1
"[4, 4, 1, 3, 6, 0, 6, 7, 6, 0, 7, 2, 2, 1, 2, 3, 5, 0, 4, 5, 6, 0, 4, 2, 1, 7, 1, 5]",30.240139,47184.0,1
"[0, 1, 0, 0, 0, 2, 5, 0, 5, 3, 6, 1, 7, 1, 2, 3, 4, 1, 5, 5, 1, 0, 6, 5, 2, 1, 0, 2]",30.928067,73728.0,1
"[4, 4, 3, 3, 2, 1, 5, 0, 6, 5, 1, 4, 4, 2, 5, 6, 3, 0, 6, 1, 2, 4, 0, 3, 5, 3, 4, 1]",27.714044,64160.0,1
"[4, 4, 2, 4, 4, 0, 7, 6, 1, 6, 4, 7, 1, 2, 6, 3, 4, 6, 7, 0, 7, 1, 6, 0, 0, 7, 1, 5]",29.010802,67088.0,1
"[0, 3, 7, 3, 7, 3, 2, 3, 5, 1, 1, 0, 7, 4, 4, 0, 0, 4, 4, 1, 6, 4, 6, 7, 2, 2, 3, 1]",31.347271,128032.0,1
"[1, 4, 6, 0, 6, 0, 3, 4, 0, 0, 5, 4, 4, 0, 4, 3, 0, 6, 0, 1, 7, 0, 4, 5, 6, 5, 1, 0]",30.677967,121408.0,1
"[4, 2, 7, 7, 2, 0, 0, 7, 4, 7, 6, 7, 5, 0, 1, 7, 6, 4, 6, 4, 2, 1, 4, 2, 7, 2, 5, 2]",30.378731,99088.0,1
"[5, 0, 4, 1, 3, 4, 5, 2, 5, 4, 0, 1, 1, 7, 3, 2, 2, 5, 1, 2, 3, 1, 5, 3, 5, 0, 2, 4]",31.457891,392352.0,1
"[3, 4, 7, 0, 7, 1, 0, 0, 2, 7, 5, 2, 7, 2, 5, 0, 1, 1, 1, 7, 5, 3, 0, 3, 5, 3, 4, 1]",30.942076,1812704.0,1
"[1, 0, 6, 4, 4, 1, 6, 5, 4, 5, 4, 6, 4, 0, 1, 0, 4, 7, 2, 3, 4, 5, 7, 0, 4, 2, 2, 2]",31.185759,140960.0,1
"[0, 0, 5, 5, 2, 6, 6, 6, 7, 2, 2, 5, 5, 0, 1, 0, 3, 6, 3, 4, 6, 5, 5, 6, 5, 0, 4, 7]",30.473973,127312.0,1
"[0, 5, 1, 6, 5, 7, 1, 6, 1, 6, 3, 7, 5, 1, 3, 5, 7, 0, 2, 6, 0, 5, 2, 5, 7, 7, 4, 6]",30.041589,140256.0,1
"[0, 2, 5, 2, 3, 4, 4, 3, 0, 0, 3, 3, 7, 5, 4, 4, 5, 6, 4, 2, 0, 2, 4, 6, 5, 5, 2, 6]",30.182458,120112.0,1
"[7, 0, 3, 6, 5, 1, 1, 0, 0, 1, 0, 7, 7, 6, 2, 1, 7, 6, 4, 3, 6, 1, 0, 2, 4, 1, 6, 4]",30.829584,2204064.0,1
"[2, 7, 3, 5, 5, 2, 1, 5, 6, 3, 2, 2, 6, 5, 4, 6, 5, 0, 0, 3, 4, 6, 4, 6, 0, 3, 1, 1]",30.55772,1004688.0,1
"[1, 5, 7, 0, 4, 1, 0, 0, 3, 1, 1, 3, 5, 4, 6, 1, 7, 4, 3, 4, 1, 2, 0, 4, 0, 4, 1, 6]",31.296158,325440.0,1
"[5, 0, 1, 7, 6, 2, 7, 7, 3, 3, 1, 2, 5, 6, 1, 2, 7, 1, 1, 2, 4, 1, 0, 0, 5, 4, 0, 5]",31.326436,229440.0,1
"[4, 2, 7, 7, 2, 0, 0, 7, 4, 7, 6, 7, 5, 1, 7, 6, 5, 0, 0, 3, 5, 1, 4, 2, 7, 2, 5, 2]",30.448089,131072.0,1
"[5, 7, 4, 7, 7, 4, 3, 7, 1, 5, 0, 1, 1, 6, 7, 5, 4, 6, 2, 4, 7, 3, 0, 4, 1, 4, 6, 2]",30.927963,147424.0,1
"[7, 1, 6, 6, 6, 4, 1, 3, 2, 0, 4, 3, 0, 5, 3, 6, 7, 7, 0, 5, 3, 5, 3, 6, 7, 0, 5, 3]",30.758468,3072864.0,1
"[1, 7, 5, 4, 4, 0, 3, 5, 4, 7, 5, 0, 0, 2, 6, 0, 7, 7, 4, 7, 1, 6, 3, 6, 3, 5, 6, 7]",31.056844,378720.0,1
"[1, 1, 3, 2, 3, 0, 7, 2, 2, 5, 6, 5, 3, 2, 4, 7, 2, 6, 1, 1, 1, 3, 7, 0, 0, 7, 4, 7]",30.97359,340032.0,1
"[5, 0, 4, 5, 4, 4, 6, 7, 6, 7, 6, 7, 1, 3, 2, 2, 7, 7, 3, 0, 7, 5, 0, 5, 7, 7, 5, 7]",30.296244,324640.0,1
"[4, 5, 2, 4, 1, 3, 7, 1, 0, 3, 4, 0, 1, 3, 0, 5, 2, 4, 4, 6, 3, 2, 5, 5, 2, 6, 1, 7]",30.173726,132640.0,1
"[0, 3, 4, 5, 4, 6, 4, 5, 7, 6, 1, 5, 0, 5, 5, 4, 0, 0, 2, 6, 6, 2, 0, 3, 5, 0, 5, 4]",30.000229,140560.0,1
"[4, 5, 2, 4, 1, 3, 7, 1, 0, 3, 4, 0, 1, 3, 0, 5, 2, 4, 4, 6, 2, 1, 0, 3, 7, 0, 5, 7]",30.6211,141568.0,1
"[0, 4, 7, 7, 6, 4, 5, 6, 1, 6, 1, 5, 1, 5, 7, 5, 2, 7, 6, 7, 6, 6, 6, 6, 3, 6, 1, 7]",30.086946,145824.0,1
"[6, 7, 3, 5, 1, 0, 6, 7, 6, 0, 7, 2, 2, 1, 5, 3, 5, 0, 4, 5, 6, 0, 4, 2, 1, 7, 1, 5]",30.931303,236016.0,1
"[4, 2, 7, 3, 0, 1, 0, 6, 2, 0, 0, 3, 0, 1, 1, 3, 5, 3, 3, 3, 6, 2, 7, 6, 2, 2, 2, 3]",30.641104,236992.0,1
"[0, 0, 0, 6, 0, 2, 3, 7, 5, 4, 7, 7, 7, 4, 3, 7, 5, 6, 0, 4, 2, 7, 1, 6, 4, 5, 7, 3]",30.157278,165392.0,1
"[2, 7, 3, 4, 5, 2, 1, 5, 6, 3, 3, 3, 2, 2, 2, 2, 5, 0, 0, 3, 4, 6, 4, 6, 7, 3, 1, 1]",30.520057,1325664.0,1
"[6, 3, 6, 4, 1, 1, 5, 3, 0, 4, 6, 0, 0, 0, 7, 3, 1, 2, 1, 1, 1, 2, 3, 0, 2, 1, 3, 6]",31.307977,1085856.0,1
"[1, 1, 4, 0, 6, 3, 6, 2, 1, 0, 4, 0, 7, 1, 5, 3, 1, 7, 3, 2, 0, 3, 0, 7, 0, 6, 5, 1]",30.580889,480608.0,1
"[5, 5, 7, 5, 3, 5, 4, 1, 3, 0, 5, 4, 4, 0, 7, 2, 0, 4, 1, 6, 4, 7, 7, 3, 3, 5, 2, 1]",31.234977,546592.0,1
"[5, 6, 2, 6, 3, 7, 5, 6, 1, 7, 4, 3, 0, 0, 2, 1, 7, 5, 1, 1, 7, 6, 1, 2, 2, 4, 0, 1]",30.954319,502432.0,1
"[1, 5, 7, 0, 4, 1, 0, 0, 3, 1, 1, 3, 5, 4, 6, 1, 7, 4, 3, 4, 1, 2, 0, 4, 7, 3, 1, 6]",30.829025,352224.0,1
"[4, 0, 3, 5, 3, 2, 0, 2, 0, 6, 0, 0, 5, 5, 7, 5, 2, 7, 6, 7, 6, 6, 6, 6, 3, 6, 1, 0]",29.540153,155328.0,1
"[0, 7, 3, 5, 1, 0, 6, 5, 3, 0, 6, 6, 6, 6, 7, 0, 6, 0, 4, 2, 6, 7, 2, 7, 1, 5, 2, 6]",30.329147,155776.0,1
"[5, 0, 4, 5, 4, 4, 6, 7, 6, 5, 5, 5, 1, 3, 2, 2, 7, 7, 3, 0, 7, 5, 0, 5, 7, 7, 5, 7]",30.295047,266656.0,1
"[3, 4, 7, 0, 7, 1, 0, 0, 2, 7, 5, 2, 7, 3, 7, 0, 1, 1, 1, 7, 5, 3, 0, 3, 5, 3, 4, 1]",30.796645,1976544.0,1
"[3, 4, 7, 0, 7, 1, 0, 0, 2, 7, 5, 2, 4, 3, 7, 0, 1, 1, 1, 7, 5, 3, 0, 3, 5, 3, 4, 1]",30.721366,1327008.0,1
"[6, 1, 7, 7, 6, 0, 0, 7, 3, 5, 7, 5, 5, 6, 6, 1, 7, 1, 6, 7, 3, 5, 3, 7, 5, 1, 3, 5]",30.692237,1027824.0,1
"[2, 1, 2, 4, 1, 0, 5, 4, 7, 0, 7, 4, 2, 6, 7, 1, 4, 6, 1, 4, 3, 2, 6, 4, 1, 5, 5, 6]",30.783865,467328.0,1
"[6, 1, 3, 2, 7, 2, 5, 7, 5, 7, 7, 1, 3, 2, 4, 7, 2, 6, 1, 1, 2, 3, 7, 0, 0, 7, 4, 7]",31.016998,700752.0,1
