architecture_id,chromosome,psnr,params,model,seed,generation
arch_001,"[0, 1, 2, 3]",31.20,8900,toy,1,1
arch_002,"[0, 1, 2, 4]",31.65,9600,toy,1,2
arch_003,"[1, 1, 2, 4]",32.10,11100,toy,1,3
arch_004,"[1, 3, 2, 4]",32.48,12800,toy,1,4
arch_005,"[2, 3, 2, 4]",32.70,15400,toy,1,5
arch_006,"[2, 4, 2, 4]",33.05,18800,toy,1,6
arch_007,"[3, 4, 2, 4]",33.12,23600,toy,2,7
arch_008,"[3, 4, 5, 4]",32.90,17500,toy,2,8
arch_009,"[4, 4, 5, 4]",31.95,7600,toy,2,9
arch_010,"[4, 5, 5, 4]",32.35,10200,toy,2,10
arch_011,"[5, 5, 5, 4]",33.35,29200,toy,2,11
arch_012,"[5, 6, 5, 4]",31.70,6800,toy,2,12
arch_013,"[6, 6, 5, 4]",33.00,15100,toy,3,13
arch_014,"[6, 7, 5, 4]",32.62,11800,toy,3,14
arch_015,"[7, 7, 5, 4]",33.25,21400,toy,3,15
arch_016,"[7, 7, 6, 4]",31.45,5900,toy,3,16
